City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
173,manastirea,44.2167,26.9,46.02,83,100,11.01,RO,1704164822
174,walvis bay,-22.9575,14.5053,64.06,72,1,1.77,NA,1704164823
175,island harbour,50.724,-1.2758,54.16,93,100,10.0,GB,1704164823
176,papao,-17.75,-149.55,85.68,75,100,5.35,PF,1704164824
177,konarka,19.9,86.1167,66.6,60,0,6.53,IN,1704164824
178,escanaba,45.7453,-87.0646,27.97,86,0,6.91,US,1704164825
179,edgewater,28.9889,-80.9023,61.0,85,75,5.75,US,1704164825
180,salaga,8.5508,-0.5188,79.12,33,20,4.83,GH,1704164827
181,lompoc,34.6391,-120.4579,55.6,85,0,11.99,US,1704164827
182,port mathurin,-19.6833,63.4167,81.57,78,73,12.55,MU,1704164828
183,ternate,0.8,127.4,83.84,75,10,4.0,ID,1704164828
184,puerto baquerizo moreno,-0.9,-89.6,76.14,87,5,7.34,EC,1704164829
185,ancud,-41.8697,-73.8203,53.74,88,100,1.79,CL,1704164628
186,ponta delgada,37.7333,-25.6667,65.19,94,75,16.11,PT,1704164831
187,enewetak,11.3474,162.3373,81.68,75,25,19.26,MH,1704164831
188,ghat,24.9647,10.1728,58.66,22,10,6.24,LY,1704164565
189,akjoujt,19.6969,-14.4164,70.77,12,100,9.37,MR,1704164568
190,christchurch,-43.5333,172.6333,73.6,46,100,14.97,NZ,1704164833
191,borgo valsugana,46.0514,11.4544,35.01,79,84,2.86,IT,1704164834
192,freeport,40.6576,-73.5832,40.17,80,75,6.91,US,1704164559
193,la'ie,21.6477,-157.9253,78.76,77,0,11.01,US,1704164835
194,tobelo,1.7284,128.0095,84.51,75,55,4.94,ID,1704164836
195,happy valley-goose bay,53.3168,-60.3315,11.7,76,96,4.92,CA,1704164836
196,pudasjarvi,65.3833,26.9167,-25.56,100,100,2.13,FI,1704164837
197,tazovsky,67.4667,78.7,-23.67,94,20,8.7,RU,1704164837
198,cidade velha,14.9167,-23.6167,72.07,78,20,11.5,CV,1704164838
199,meulaboh,4.1363,96.1285,80.6,84,100,2.75,ID,1704164838
200,al qusayr,34.5091,36.5798,50.9,70,100,1.79,SY,1704164839
201,ust-nera,64.5667,143.2,-43.89,98,70,4.52,RU,1704164839
202,quesnel,52.9999,-122.5029,28.9,93,40,0.0,CA,1704164711
203,conceicao do araguaia,-8.2578,-49.2647,74.52,92,53,2.64,BR,1704164840
204,gangarampur,25.4,88.5167,64.85,42,0,4.5,IN,1704164841
205,tannum sands,-23.9504,151.3693,89.74,62,75,10.36,AU,1704164841
206,nar'yan-mar,67.6713,53.087,-18.89,99,83,5.01,RU,1704164842
207,santa ana,33.7456,-117.8678,60.78,66,0,6.91,US,1704164760
208,aasiaat,68.7098,-52.8699,-2.15,89,47,11.25,GL,1704164843
209,kourou,5.1552,-52.6478,78.85,80,11,10.0,GF,1704164843
210,bahia de caraquez,-0.6,-80.4167,78.98,85,100,6.96,EC,1704164845
211,bikin,46.8161,134.26,11.19,82,69,5.3,RU,1704164846
212,tralee,52.2704,-9.7026,49.46,94,100,5.3,IE,1704164846
213,kencong,-8.2833,113.3667,86.99,70,63,3.6,ID,1704164847
214,alofi,-19.0595,-169.9187,82.29,69,75,16.11,NU,1704164847
215,warrnambool,-38.3833,142.4833,66.16,87,100,12.82,AU,1704164848
216,vilyuchinsk,52.9306,158.4028,8.87,75,92,10.65,RU,1704164849
217,kertosono,-7.5833,112.1,89.04,64,46,1.48,ID,1704164850
218,kelo,9.3086,15.8066,70.5,24,31,5.77,TD,1704164850
219,palikir - national government center,6.9248,158.1611,86.85,74,40,11.5,FM,1704164851
220,amga,60.8953,131.9608,-11.27,98,98,0.74,RU,1704164851
221,saint-affrique,43.9558,2.8892,39.79,95,100,1.41,FR,1704164852
222,yukhnov,54.7444,35.2297,9.37,70,100,11.12,RU,1704164852
223,satipo,-11.2522,-74.6386,72.93,92,100,2.15,PE,1704164853
224,lerwick,60.1545,-1.1494,42.8,88,100,34.2,GB,1704164854
225,yarmouth,41.7057,-70.2286,31.96,86,0,3.44,US,1704164854
226,antsiranana,-12.2787,49.2917,78.4,84,99,3.76,MG,1704164855
227,vila franca do campo,37.7167,-25.4333,64.89,99,100,12.06,PT,1704164855
228,kaa-khem,51.6833,94.7333,-5.6,89,69,3.58,RU,1704164856
229,tolanaro,-25.0319,46.9987,74.61,91,100,10.96,MG,1704164857
230,kuna,43.4918,-116.4201,35.04,95,100,0.0,US,1704164858
231,touros,-5.1989,-35.4608,78.67,84,82,5.44,BR,1704164859
232,swan hill,-35.3378,143.5544,95.27,32,78,15.03,AU,1704164860
233,nicoya,10.1483,-85.452,74.62,75,7,7.05,CR,1704164860
234,pimenta bueno,-11.6725,-61.1936,74.07,93,91,2.77,BR,1704164646
235,portland,45.5234,-122.6762,44.64,84,100,11.01,US,1704164701
236,port alfred,-33.5906,26.891,65.17,94,98,5.01,ZA,1704164862
237,kibaya,-5.3,36.5667,59.9,97,97,1.25,TZ,1704164863
238,nuuk,64.1835,-51.7216,30.81,43,100,6.91,GL,1704164863
239,goba,7.0167,39.9833,47.82,64,89,3.53,ET,1704164864
240,san antonio de pale,-1.4014,5.6325,80.62,81,17,7.47,GQ,1704164865
241,thompson,55.7435,-97.8558,15.33,93,100,7.96,CA,1704164865
242,carnarvon,-24.8667,113.6333,80.06,52,4,23.31,AU,1704164866
243,lazaro cardenas,17.9583,-102.2,74.41,63,73,4.63,MX,1704164866
244,dudinka,69.4058,86.1778,-23.39,95,44,7.16,RU,1704164867
245,isola di capo rizzuto,38.96,17.0933,57.18,74,100,14.52,IT,1704164867
246,miches,18.9836,-69.0476,74.52,89,50,7.47,DO,1704164868
247,la sarre,48.8002,-79.1996,23.86,78,98,12.33,CA,1704164868
248,cabedelo,-6.9811,-34.8339,74.07,81,39,6.89,BR,1704164757
249,balabac,7.9868,117.0645,84.79,74,100,11.92,PH,1704164870
250,bereznik,62.8551,42.7072,-27.54,100,80,1.61,RU,1704164870
251,paracuru,-3.41,-39.0306,74.64,91,100,2.42,BR,1704164870
252,bandar,2.05,99.75,84.43,71,92,2.66,ID,1704164871
253,nova vicosa,-17.8919,-39.3719,75.18,91,100,4.41,BR,1704164871
254,masonboro,34.1793,-77.8475,47.07,64,0,10.36,US,1704164872
255,ixtapa,20.7,-105.2,72.63,78,75,2.3,MX,1704164872
256,lawrenceburg,38.0373,-84.8966,36.18,86,100,3.44,US,1704164873
257,azangaro,-14.9167,-70.2167,48.36,79,97,2.84,PE,1704164873
258,qusmuryn,52.4503,64.6311,21.16,87,96,19.1,KZ,1704164874
259,fort mcmurray,56.7268,-111.381,18.91,79,100,5.75,CA,1704164874
260,hithadhoo,-0.6,73.0833,81.28,77,83,2.57,MV,1704164875
261,haiku-pauwela,20.9219,-156.3051,77.02,69,40,21.85,US,1704164875
262,booue,-0.0921,11.9385,73.6,96,65,1.12,GA,1704164876
263,ascension,30.2169,-90.9001,53.6,67,0,8.05,US,1704164877
264,kruisfontein,-34.0033,24.7314,66.88,94,4,9.1,ZA,1704164877
265,vanimo,-2.6741,141.3028,84.51,69,100,4.03,PG,1704164878
266,mutuali,-14.8706,37.0044,69.33,94,100,2.66,MZ,1704164878
267,tlalixtac de cabrera,17.0667,-96.65,57.63,82,30,4.88,MX,1704164879
268,sovetskaya gavan',48.9723,140.2878,14.11,62,94,4.83,RU,1704164879
269,pangai,-19.8,-174.35,79.27,82,1,16.69,TO,1704164840
270,morant bay,17.8815,-76.4093,80.22,86,56,9.69,JM,1704164880
271,wacheng,33.7833,114.5167,46.47,52,98,4.68,CN,1704164881
272,severobaykal'sk,55.65,109.3167,12.51,84,54,7.4,RU,1704164881
273,gelemso,8.8167,40.5167,58.05,57,91,4.05,ET,1704164882
274,fada,9.5667,8.3,67.64,24,96,5.3,NG,1704164883
275,sola,-13.8833,167.55,82.4,75,80,10.74,VU,1704164883
276,zeya,53.75,127.2667,-10.52,90,13,1.81,RU,1704164884
277,lauro de freitas,-12.8944,-38.3272,80.62,83,20,10.36,BR,1704164797
278,tiksi,71.6872,128.8694,-19.26,98,100,1.01,RU,1704164885
279,morozovsk,48.3539,41.8261,36.07,68,100,13.94,RU,1704164885
280,le lavandou,43.137,6.366,49.75,71,0,6.91,FR,1704164886
281,pemangkat,1.1667,108.9667,82.99,77,99,2.73,ID,1704164887
282,tchintabaraden,15.8969,5.7985,64.08,17,100,10.65,NE,1704164887
283,markovo,57.3206,107.0881,7.38,92,100,7.72,RU,1704164888
284,tateyama,34.9833,139.8667,49.1,74,99,2.86,JP,1704164888
285,strelka,58.0728,93.0344,3.38,96,100,9.6,RU,1704164889
286,gold camp,33.2937,-111.3043,52.3,36,100,4.21,US,1704164890
287,luderitz,-26.6481,15.1594,63.19,96,23,3.42,NA,1704164890
288,lorengau,-2.0226,147.2712,86.05,69,46,4.85,PG,1704164891
289,stulpicani,47.4667,25.7667,37.81,74,100,10.33,RO,1704164892
290,mawlamyinegyunn,16.3833,95.2667,77.65,56,14,5.75,MM,1704164892
291,katoomba,-33.7198,150.3074,73.87,82,78,1.99,AU,1704164630
292,dossor,47.5272,52.9811,29.39,66,11,5.35,KZ,1704164893
293,al qadarif,14.0349,35.3834,69.57,44,69,9.8,SD,1704164894
294,maceio,-9.6658,-35.7353,76.44,94,0,3.44,BR,1704164894
295,stowmarket,52.1889,0.9977,53.58,94,100,18.41,GB,1704164895
296,lepsy,46.235,78.9456,34.25,55,100,10.04,KZ,1704164895
297,undurkhaan,47.3194,110.6556,-1.41,87,39,5.37,MN,1704164896
298,horta,38.5333,-28.6333,62.02,92,100,8.99,PT,1704164897
299,forster,-32.1667,152.5167,80.29,68,76,13.98,AU,1704164897
300,antofagasta,-23.65,-70.4,66.24,79,53,4.05,CL,1704164898
301,igarka,67.4667,86.5833,-15.79,100,96,3.33,RU,1704164898
302,naze,28.3667,129.4833,62.35,52,7,5.08,JP,1704164899
303,isla aguada,18.7833,-91.4667,77.04,77,100,12.59,MX,1704164899
304,uturoa,-16.7333,-151.4333,82.26,79,100,8.55,PF,1704164900
305,grange,-34.9,138.4833,90.77,43,31,12.33,AU,1704164900
306,svetlyy,54.675,20.1347,32.36,95,100,13.15,RU,1704164901
307,kuanda,56.3161,116.0806,-0.78,96,100,1.36,RU,1704164901
308,ibarreta,-25.2144,-59.8585,76.06,82,2,4.14,AR,1704164902
309,kavaratti,10.5669,72.642,82.81,71,97,9.15,IN,1704164902
310,saldanha,-33.0117,17.9442,69.57,66,5,5.5,ZA,1704164903
311,mareeba,-17.0,145.4333,91.44,59,7,8.39,AU,1704164903
312,timimoun,29.2639,0.231,58.24,29,89,9.06,DZ,1704164904
313,kill devil hills,36.0307,-75.676,44.98,80,100,11.5,US,1704164823
314,san patricio,28.017,-97.5169,60.66,66,100,8.93,US,1704164904
315,vrangel',42.7297,133.0839,32.45,64,79,10.47,RU,1704164905
316,gizo,-8.103,156.8419,85.19,72,21,2.17,SB,1704164905
317,fomboni,-12.28,43.7425,84.7,74,100,7.29,KM,1704164906
318,uliastay,47.7417,96.8444,5.04,71,17,7.49,MN,1704164906
319,woodway,31.506,-97.205,41.45,84,0,6.91,US,1704164907
320,cide,41.8921,33.0044,52.92,72,76,6.85,TR,1704164907
321,miracema do tocantins,-9.5618,-48.3967,76.26,83,74,1.21,BR,1704164908
322,severo-yeniseyskiy,60.3725,93.0408,-13.43,97,96,4.0,RU,1704164908
323,zachary,30.6485,-91.1565,50.74,66,0,6.91,US,1704164767
324,aweil,8.7682,27.4002,69.48,24,3,4.79,SS,1704164909
325,saynshand,44.8824,110.1163,6.71,80,34,10.85,MN,1704164910
326,xilin hot,43.9667,116.0333,11.16,90,99,8.72,CN,1704164736
327,palu,-0.8917,119.8707,89.82,65,61,2.51,ID,1704164911
328,sobrance,48.7445,22.1814,36.48,96,88,3.94,SK,1704164911
329,gaigeturi,33.4644,126.3183,51.19,63,69,10.31,KR,1704164912
330,queenstown,-31.8976,26.8753,58.41,95,100,3.94,ZA,1704164912
331,ta`u,-14.2336,-169.5144,82.17,71,100,3.4,AS,1704164913
332,chemin grenier,-20.4872,57.4656,79.47,80,98,6.64,MU,1704164913
333,santiago de cao,-7.9589,-79.2392,69.93,88,75,8.05,PE,1704164915
334,ar ruways,24.1103,52.7306,69.22,76,0,10.78,AE,1704164627
335,yaren,-0.5472,166.916,85.12,72,4,16.33,NR,1704164916
336,wanning,18.8003,110.3967,75.27,79,95,8.14,CN,1704164916
337,vuktyl,63.8567,57.3094,-29.88,100,11,1.99,RU,1704164917
338,axim,4.8699,-2.2405,79.56,81,25,4.92,GH,1704164917
339,pitea,65.3172,21.4794,-16.51,100,100,3.89,SE,1704164918
340,vygonichi,53.0985,34.0673,22.68,92,100,16.33,RU,1704164918
341,rio grande,-32.035,-52.0986,72.95,86,98,15.66,BR,1704164919
342,nueva gerona,21.8833,-82.8,68.65,69,1,13.4,CU,1704164919
343,kristiansund,63.1115,7.732,32.65,51,6,10.36,NO,1704164920
344,yorkton,51.2167,-102.4677,25.74,86,76,14.18,CA,1704164920
345,nouadhibou,20.931,-17.0347,66.18,52,100,12.66,MR,1704164921
346,tempoal de sanchez,21.5167,-98.3833,69.15,77,100,1.88,MX,1704164921
347,ed damer,17.5928,33.9592,63.91,36,0,11.68,SD,1704164922
348,almeria,37.1667,-2.3333,43.77,57,44,3.62,ES,1704164922
349,ujae,8.9322,165.7642,82.65,79,13,19.77,MH,1704164923
350,tell city,37.9514,-86.7678,36.07,88,70,3.02,US,1704164654
351,pul-e khumri,35.9446,68.7151,44.13,35,96,2.95,AF,1704164924
352,coquimbo,-29.9533,-71.3436,62.33,82,0,8.05,CL,1704164761
353,springfield,37.2153,-93.2982,27.54,89,0,3.44,US,1704164492
354,machali,-34.1833,-70.6667,63.59,49,0,1.66,CL,1704164925
355,nelson bay,-32.7167,152.15,82.45,69,39,21.99,AU,1704164926
356,brookings,44.3114,-96.7984,26.19,90,0,10.36,US,1704164926
357,cabo san lucas,22.8909,-109.9124,70.61,73,100,10.36,MX,1704164785
358,hashtrud,37.4779,47.0508,32.58,71,90,0.87,IR,1704164927
359,nyurba,63.2842,118.3319,-3.42,98,100,7.02,RU,1704164928
360,prince rupert,54.3161,-130.3201,42.49,79,100,19.57,CA,1704164711
361,williamsburg,37.2707,-76.7075,39.78,86,100,10.36,US,1704164929
362,quillacollo,-17.4,-66.2833,68.13,48,20,7.0,BO,1704164929
363,bhag,29.0415,67.8239,58.26,36,4,2.04,PK,1704164930
364,lianhe,47.1333,129.2667,12.52,75,40,2.77,CN,1704164930
365,yinchuan,38.4681,106.2731,32.18,38,0,4.68,CN,1704164796
366,sao jose da coroa grande,-8.8978,-35.1478,79.48,78,24,7.81,BR,1704164931
367,perugorria,-29.3413,-58.6106,68.9,79,9,7.27,AR,1704164932
368,dabhol,17.6,73.1667,73.85,50,4,3.44,IN,1704164932
369,carutapera,-1.195,-46.02,76.23,94,100,4.25,BR,1704164893
370,fortuna,40.5982,-124.1573,49.12,94,0,0.0,US,1704164933
371,visakhapatnam,17.69,83.2093,69.69,100,64,2.3,IN,1704164934
372,purpe,64.4803,76.6897,-25.87,95,11,10.51,RU,1704164934
373,veraval,20.9,70.3667,69.06,50,0,9.4,IN,1704164935
374,katsuura,35.1333,140.3,57.45,62,94,11.52,JP,1704164935
375,leo,11.1,-2.1,69.82,19,2,7.18,BF,1704164936
376,lata,40.1629,-8.3327,49.08,86,100,4.52,PT,1704164937
377,sosnovka,56.255,51.2842,-21.28,99,91,1.77,RU,1704164937
378,ubari,26.5921,12.7805,54.1,39,94,8.16,LY,1704164938
379,kitimat,54.0524,-128.6534,35.98,64,100,1.01,CA,1704164938
380,puerto deseado,-47.7503,-65.8938,57.97,66,59,21.45,AR,1704164939
381,ocean city,39.2776,-74.5746,42.82,80,100,5.01,US,1704164710
382,inhambane,-23.865,35.3833,78.78,89,75,12.66,MZ,1704164940
383,al kharijah,25.4514,30.5464,54.21,70,0,6.58,EG,1704164940
384,clorinda,-25.2848,-57.7185,75.36,92,38,3.76,AR,1704164941
385,santa luzia,-19.7697,-43.8514,69.78,89,100,5.53,BR,1704164941
386,urangan,-25.3,152.9,75.67,80,92,14.27,AU,1704164942
387,hobyo,5.3505,48.5268,76.3,75,100,18.21,SO,1704164942
388,mossel bay,-34.1831,22.146,62.53,91,9,15.26,ZA,1704164943
389,baruun-urt,46.6806,113.2792,0.23,90,8,5.1,MN,1704164943
390,asasa,7.1,39.2,52.79,71,86,1.43,ET,1704164944
391,ain sefra,32.75,-0.5833,42.31,72,0,4.63,DZ,1704164944
392,itoman,26.1247,127.6694,70.18,46,20,9.22,JP,1704164945
393,arauca,7.0847,-70.7591,81.45,59,77,4.18,CO,1704164852
394,poyarkovo,49.6,128.6833,-3.28,86,13,2.91,RU,1704164946
395,arawa,-6.2132,155.5367,87.94,70,36,4.29,PG,1704164946
396,barrouallie,13.2333,-61.2667,76.8,80,34,8.95,VC,1704164947
397,balsas,-7.5325,-46.0356,74.52,89,58,3.0,BR,1704164947
398,chancay,-11.5714,-77.2672,70.41,84,93,6.73,PE,1704164948
399,flowery branch,34.1851,-83.9252,36.43,67,0,8.05,US,1704164949
400,barcelona,41.3888,2.159,52.92,66,20,9.22,ES,1704164397
401,zouerate,22.7187,-12.4521,64.08,17,100,6.87,MR,1704164768
402,poyang,28.9924,116.6675,54.27,48,59,7.38,CN,1704164951
403,zalingei,12.9096,23.4741,61.61,18,0,2.84,SD,1704164951
404,damghan,36.1683,54.348,38.1,67,0,0.83,IR,1704164952
405,nemuro,43.3236,145.575,31.19,76,100,16.35,JP,1704164953
406,santa maria del oro,25.9333,-105.3667,50.22,30,100,6.53,MX,1704164954
407,pacific grove,36.6177,-121.9166,53.28,85,0,4.61,US,1704164954
408,hirara,24.8,125.2833,68.77,63,10,10.4,JP,1704164955
409,olean,42.0776,-78.4297,30.88,100,100,0.0,US,1704164956
410,olinda,-8.0089,-34.8553,74.93,94,0,4.61,BR,1704164956
411,lethem,3.3803,-59.7968,80.98,66,4,11.34,GY,1704164958
412,brisas de zicatela,15.8369,-97.0419,77.52,73,0,5.75,MX,1704164958
413,bodo,67.28,14.405,16.77,53,23,28.77,NO,1704164959
414,hassi messaoud,31.6804,6.0729,57.83,36,100,4.7,DZ,1704164959
415,nogliki,51.8333,143.1667,5.04,88,100,4.88,RU,1704164960
416,coronel suarez,-37.4547,-61.9334,59.2,86,57,4.59,AR,1704164960
417,xi'an,34.2583,108.9286,44.46,46,0,5.99,CN,1704164956
418,harstad,68.799,16.5293,18.81,50,98,13.0,NO,1704164961
419,bakanas,44.8081,76.2772,37.18,53,68,13.42,KZ,1704164962
420,salym,60.0625,71.4789,-4.61,96,100,9.93,RU,1704164963
421,fort abbas,29.1925,72.8536,54.81,30,0,4.83,PK,1704164963
422,pimentel,-6.8367,-79.9342,71.89,83,0,16.11,PE,1704164964
423,tambo,-14.8,-73.9167,39.88,85,97,4.25,PE,1704164964
424,alenquer,-1.9417,-54.7383,77.56,81,69,1.34,BR,1704164965
425,palmerston,-12.486,130.9833,94.03,55,20,8.05,AU,1704164965
426,kenai,60.5544,-151.2583,23.05,80,0,14.97,US,1704164966
427,saga,33.2493,130.2988,53.55,50,6,3.42,JP,1704164966
428,ormara,25.2088,64.6357,70.5,71,1,4.43,PK,1704164967
429,dhidhdhoo,6.8833,73.1,81.48,77,100,7.72,MV,1704164967
430,chipinge,-20.1883,32.6236,62.87,93,49,3.38,ZW,1704164968
431,san luis de la loma,17.2706,-100.8939,75.24,65,5,5.95,MX,1704164968
432,pagar alam,-4.0167,103.2667,83.59,62,78,2.57,ID,1704164969
433,mejit,10.2753,170.8646,81.46,74,97,17.6,MH,1704164969
434,sao vicente,-23.9631,-46.3919,77.27,26,25,4.0,BR,1704164970
435,ejura,7.3856,-1.3562,73.92,76,34,4.5,GH,1704164970
436,greymouth,-42.4667,171.2,62.83,67,100,7.49,NZ,1704164971
437,jinxiang,27.4327,120.6062,53.15,66,3,4.25,CN,1704164971
438,crane,31.3974,-102.3501,46.26,49,80,10.36,US,1704164972
439,kurumkan,54.3,110.3,10.13,96,67,1.01,RU,1704164972
440,leava,-14.3,-178.1667,82.71,75,83,11.83,WF,1704164973
441,saint-francois,46.4154,3.9054,47.64,85,100,11.5,FR,1704164973
442,magong,23.5654,119.5863,66.47,73,1,23.51,TW,1704164974
443,kitui,-1.367,38.0106,63.61,87,45,3.27,KE,1704164974
